,TF doc1,TF doc2,TF doc3,DF,IDF,TF-IDF doc1,TF-IDF doc2,TF-IDF doc3
estimou,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
neoplasia,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
primária,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
incidência,0.006711409395973154,0.0,0.0,2.0,0.3679767852945943,0.0024696428543261365,0.0,0.0
homens,0.026845637583892617,0.0,0.0,8.0,0.15970084286751188,0.004287270949463406,0.0,0.0
mulheres,0.026845637583892617,0.0,0.0,8.0,0.15970084286751188,0.004287270949463406,0.0,0.0
país,0.006711409395973154,0.005076142131979695,0.011560693641618497,5.0,0.3679767852945943,0.0024696428543261365,0.0018679024634243365,0.004254066882018431
figura,0.006711409395973154,0.0,0.0,2.0,0.3679767852945943,0.0024696428543261365,0.0,0.0
países,0.006711409395973154,0.005076142131979695,0.0,3.0,0.3679767852945943,0.0024696428543261365,0.0018679024634243365,0.0
sobrevida,0.003355704697986577,0.005076142131979695,0.0,2.0,0.47712125471966244,0.0016010780359720215,0.0024219353031454944,0.0
anos,0.010067114093959731,0.01015228426395939,0.005780346820809248,6.0,0.3010299956639812,0.003030503312053502,0.0030561420879592,0.0017400577784045155
semelhante,0.003355704697986577,0.005076142131979695,0.0,2.0,0.47712125471966244,0.0016010780359720215,0.0024219353031454944,0.0
taxas,0.013422818791946308,0.015228426395939087,0.005780346820809248,8.0,0.25527250510330607,0.0034264765785678667,0.0038873985548726815,0.0014755636133139077
globais,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
variam,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
padronizadas,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
respectivamente,0.010067114093959731,0.01015228426395939,0.0,5.0,0.3010299956639812,0.003030503312053502,0.0030561420879592,0.0
aumentou,0.006711409395973154,0.0,0.0,2.0,0.3679767852945943,0.0024696428543261365,0.0,0.0
brutas,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
ajustadas,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
diferiram,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
magnitude,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
períodos,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
aumento,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
relativo,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
significativo,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
vs,0.003355704697986577,0.005076142131979695,0.0,2.0,0.47712125471966244,0.0016010780359720215,0.0024219353031454944,0.0
provavelmente,0.003355704697986577,0.0,0.005780346820809248,2.0,0.47712125471966244,0.0016010780359720215,0.0,0.0027579263278593204
virtude,0.003355704697986577,0.0,0.005780346820809248,2.0,0.47712125471966244,0.0016010780359720215,0.0,0.0027579263278593204
diferenças,0.003355704697986577,0.0,0.005780346820809248,2.0,0.47712125471966244,0.0016010780359720215,0.0,0.0027579263278593204
prevalência,0.013422818791946308,0.01015228426395939,0.0,6.0,0.25527250510330607,0.0034264765785678667,0.0025915990365817875,0.0
tabagismo,0.020134228187919462,0.0,0.0,6.0,0.1962946451439682,0.003952241177395332,0.0,0.0
aumentaram,0.003355704697986577,0.005076142131979695,0.0,2.0,0.47712125471966244,0.0016010780359720215,0.0024219353031454944,0.0
igual,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
superior,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
idades,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
saúde,0.016778523489932886,0.005076142131979695,0.017341040462427744,9.0,0.22184874961635634,0.003722294456650274,0.0011261357848546007,0.003847088143636237
brasileiro,0.003355704697986577,0.005076142131979695,0.0,2.0,0.47712125471966244,0.0016010780359720215,0.0024219353031454944,0.0
dividido,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
cobertura,0.006711409395973154,0.0,0.0,2.0,0.3679767852945943,0.0024696428543261365,0.0,0.0
privada,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
pública,0.006711409395973154,0.0,0.0,2.0,0.3679767852945943,0.0024696428543261365,0.0,0.0
discutido,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
adiante,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
presente,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
análise,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
evidente,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
discrepância,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
significativa,0.006711409395973154,0.0,0.0,2.0,0.3679767852945943,0.0024696428543261365,0.0,0.0
público,0.003355704697986577,0.0,0.011560693641618497,3.0,0.47712125471966244,0.0016010780359720215,0.0,0.005515852655718641
privado,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
tocante,0.003355704697986577,0.0,0.005780346820809248,2.0,0.47712125471966244,0.0016010780359720215,0.0,0.0027579263278593204
disponibilidade,0.003355704697986577,0.0,0.005780346820809248,2.0,0.47712125471966244,0.0016010780359720215,0.0,0.0027579263278593204
recursos,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
desfechos,0.003355704697986577,0.005076142131979695,0.0,2.0,0.47712125471966244,0.0016010780359720215,0.0024219353031454944,0.0
paciente,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
tendências,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
refletem,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
modelo,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
epidemiológico,0.003355704697986577,0.005076142131979695,0.0,2.0,0.47712125471966244,0.0016010780359720215,0.0024219353031454944,0.0
relacionada,0.006711409395973154,0.0,0.0,2.0,0.3679767852945943,0.0024696428543261365,0.0,0.0
tabaco,0.016778523489932886,0.0,0.0,5.0,0.22184874961635634,0.003722294456650274,0.0,0.0
uso,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
durante,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
décadas,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
atingiu,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
década,0.003355704697986577,0.005076142131979695,0.0,2.0,0.47712125471966244,0.0016010780359720215,0.0024219353031454944,0.0
fortes,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
políticas,0.006711409395973154,0.0,0.0,2.0,0.3679767852945943,0.0024696428543261365,0.0,0.0
resultaram,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
redução,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
consumo,0.006711409395973154,0.0,0.0,2.0,0.3679767852945943,0.0024696428543261365,0.0,0.0
servir,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
baixa,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
média,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
renda,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
estudos,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
conduzidos,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
indicam,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
relacionadas,0.006711409395973154,0.0,0.0,2.0,0.3679767852945943,0.0024696428543261365,0.0,0.0
diminuíram,0.003355704697986577,0.005076142131979695,0.0,2.0,0.47712125471966244,0.0016010780359720215,0.0024219353031454944,0.0
aproximadamente,0.003355704697986577,0.005076142131979695,0.017341040462427744,5.0,0.47712125471966244,0.0016010780359720215,0.0024219353031454944,0.008273778983577961
dados,0.010067114093959731,0.030456852791878174,0.028901734104046242,14.0,0.3010299956639812,0.003030503312053502,0.0091684262638776,0.008700288892022578
provenientes,0.003355704697986577,0.005076142131979695,0.0,2.0,0.47712125471966244,0.0016010780359720215,0.0024219353031454944,0.0
estudo,0.003355704697986577,0.01015228426395939,0.0,3.0,0.47712125471966244,0.0016010780359720215,0.004843870606290989,0.0
vigilância,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
telefone,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
fatores,0.010067114093959731,0.0,0.0,3.0,0.3010299956639812,0.003030503312053502,0.0,0.0
risco,0.006711409395973154,0.0,0.0,2.0,0.3679767852945943,0.0024696428543261365,0.0,0.0
doenças,0.010067114093959731,0.0,0.005780346820809248,4.0,0.3010299956639812,0.003030503312053502,0.0,0.0017400577784045155
crônicas,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
proteção,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
mostraram,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
fumantes,0.006711409395973154,0.0,0.0,2.0,0.3679767852945943,0.0024696428543261365,0.0,0.0
porcentagens,0.003355704697986577,0.005076142131979695,0.0,2.0,0.47712125471966244,0.0016010780359720215,0.0024219353031454944,0.0
principais,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
componentes,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
brasileiras,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
antitabaco,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
proibição,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
locais,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
públicos,0.003355704697986577,0.005076142131979695,0.0,2.0,0.47712125471966244,0.0016010780359720215,0.0024219353031454944,0.0
impostos,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
altos,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
produtos,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
alertas,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
